Automatic trading on BTCUSDT.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '02_auto_trade_auto_sell_BTCUSDT', 'symbol': 'BTC/USDT', 'tolerance': 150, 'current_trend': 1, 'min_sell_price': 29000.0, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 0.1, 'buy_price': 27931.2, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [27931.2], 'v_min': 27931.2, 'v_max': 27931.2}
2023-04-06 13:36:19, Price=27931.20, v_min=27931.20, v_max=27931.20, trend=1
2023-04-06 14:10:33, Price=27895.99, v_min=(27931.20,-35.21), v_max=(27945.29,49.30), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27895.99]
2023-04-06 14:10:48, Price=27899.99, v_min=(27931.20,-31.21), v_max=(27945.29,45.30), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27899.99]
2023-04-06 14:11:04, Price=27897.61, v_min=(27931.20,-33.59), v_max=(27945.29,47.68), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27897.61]
2023-04-06 14:11:19, Price=27900.27, v_min=(27931.20,-30.93), v_max=(27945.29,45.02), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27900.27]
2023-04-06 14:11:34, Price=27912.33, v_min=(27931.20,-18.87), v_max=(27945.29,32.96), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.33]
2023-04-06 14:11:49, Price=27919.22, v_min=(27931.20,-11.98), v_max=(27945.29,26.07), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27919.22]
2023-04-06 14:12:04, Price=27921.53, v_min=(27931.20,-9.67), v_max=(27945.29,23.76), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27921.53]
2023-04-06 14:12:19, Price=27921.53, v_min=(27931.20,-9.67), v_max=(27945.29,23.76), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27921.53]
2023-04-06 14:12:34, Price=27921.54, v_min=(27931.20,-9.66), v_max=(27945.29,23.75), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27921.54]
2023-04-06 14:12:49, Price=27927.18, v_min=(27931.20,-4.02), v_max=(27945.29,18.11), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27927.18]
2023-04-06 14:13:04, Price=27932.10, v_min=(27931.20,0.90), v_max=(27945.29,13.19), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27932.1]
