Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 16:57:35, Price=1717.76, v_min=(1720.36,-2.60), v_max=(1721.97,4.21), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.76]
2023-04-10 16:57:50, Price=1717.61, v_min=(1720.36,-2.75), v_max=(1721.97,4.36), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.61]
2023-04-10 16:58:05, Price=1717.77, v_min=(1720.36,-2.59), v_max=(1721.97,4.20), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.77]
2023-04-10 16:58:21, Price=1718.05, v_min=(1720.36,-2.31), v_max=(1721.97,3.92), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.05]
2023-04-10 16:58:35, Price=1717.88, v_min=(1720.36,-2.48), v_max=(1721.97,4.09), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.88]
2023-04-10 16:58:51, Price=1717.84, v_min=(1720.36,-2.52), v_max=(1721.97,4.13), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.84]
2023-04-10 16:59:05, Price=1717.83, v_min=(1720.36,-2.53), v_max=(1721.97,4.14), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.83]
2023-04-10 16:59:22, Price=1717.84, v_min=(1720.36,-2.52), v_max=(1721.97,4.13), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.84]
2023-04-10 16:59:36, Price=1717.84, v_min=(1720.36,-2.52), v_max=(1721.97,4.13), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.84]
2023-04-10 16:59:50, Price=1717.65, v_min=(1720.36,-2.71), v_max=(1721.97,4.32), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.65]
