Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 18:14:02,26883.0,1735.79,1.0568,0.5638
2023-03-28 18:15:02,26875.5,1735.47,1.0568,0.5636
2023-03-28 18:16:02,26877.22,1735.69,1.0573,0.5638
2023-03-28 18:17:02,26870.49,1735.37,1.0561,0.5635
2023-03-28 18:18:02,26856.72,1734.23,1.0549,0.5629
2023-03-28 18:19:02,26798.0,1731.91,1.0539,0.5622
2023-03-28 18:20:03,26831.23,1732.96,1.0552,0.5626
2023-03-28 18:21:03,26796.25,1730.42,1.0535,0.562
2023-03-28 18:22:03,26800.0,1731.33,1.0541,0.5624
2023-03-28 18:23:03,26828.98,1732.51,1.0545,0.5627
2023-03-28 18:24:03,26804.81,1731.11,1.0533,0.5619
2023-03-28 18:25:03,26819.5,1731.73,1.0545,0.5624
2023-03-28 18:26:03,26783.51,1729.63,1.053,0.5617
2023-03-28 18:27:03,26816.19,1731.56,1.0557,0.5626
2023-03-28 18:28:02,26830.8,1732.71,1.0566,0.563
2023-03-28 18:29:02,26893.19,1734.79,1.058,0.5638
2023-03-28 18:30:02,26895.43,1735.57,1.0584,0.564
2023-03-28 18:31:02,26901.42,1735.73,1.059,0.5641
2023-03-28 18:32:02,26896.37,1735.12,1.0583,0.5635
2023-03-28 18:33:03,26871.16,1733.77,1.0575,0.563
2023-03-28 18:34:03,26809.42,1730.23,1.0547,0.5617
2023-03-28 18:35:03,26802.99,1729.47,1.0543,0.5616
2023-03-28 18:36:03,26829.99,1731.52,1.0558,0.5619
2023-03-28 18:37:03,26816.02,1730.52,1.0549,0.562
2023-03-28 18:38:03,26863.0,1735.75,1.0575,0.5635
2023-03-28 18:39:03,26826.8,1733.32,1.056,0.5625
2023-03-28 18:40:02,26817.33,1732.92,1.056,0.5622
2023-03-28 18:41:02,26818.8,1733.22,1.0563,0.5625
2023-03-28 18:42:02,26837.99,1733.9,1.0582,0.5629
2023-03-28 18:43:03,26834.49,1733.52,1.0578,0.5626
2023-03-28 18:44:03,26813.59,1732.38,1.0561,0.5624
2023-03-28 18:45:03,26817.6,1732.71,1.0569,0.5628
2023-03-28 18:46:03,26829.99,1733.88,1.0582,0.5631
2023-03-28 18:47:03,26816.1,1733.1,1.0575,0.5631
2023-03-28 18:48:03,26823.15,1734.09,1.0588,0.5631
2023-03-28 18:49:03,26839.0,1734.84,1.0595,0.5636
2023-03-28 18:50:03,26847.97,1736.13,1.0602,0.5645
2023-03-28 18:51:02,26834.08,1735.31,1.0593,0.5643
2023-03-28 18:52:02,26832.4,1735.28,1.0596,0.5639
2023-03-28 18:53:02,26838.25,1735.44,1.0594,0.5639
2023-03-28 18:54:03,26829.01,1734.97,1.059,0.5637
2023-03-28 18:55:03,26836.1,1735.39,1.0593,0.5637
2023-03-28 18:56:03,26840.0,1735.38,1.0585,0.5635
2023-03-28 18:57:03,26842.97,1735.06,1.0584,0.5635
2023-03-28 18:58:03,26858.81,1735.64,1.0587,0.5635
2023-03-28 18:59:03,26863.19,1736.02,1.059,0.5637
2023-03-28 19:00:03,26872.19,1736.5,1.0591,0.5636
2023-03-28 19:01:02,26865.36,1736.66,1.0588,0.564
2023-03-28 19:02:02,26900.48,1738.53,1.0601,0.5642
2023-03-28 19:03:02,26877.66,1736.9,1.0595,0.5631
2023-03-28 19:04:02,26880.88,1737.0,1.0589,0.5636
2023-03-28 19:05:02,26872.26,1737.22,1.0586,0.5634
2023-03-28 19:06:03,26859.01,1736.64,1.0577,0.5629
2023-03-28 19:07:03,26852.06,1735.88,1.0576,0.563
2023-03-28 19:08:03,26841.24,1735.6,1.0568,0.5628
2023-03-28 19:09:02,26856.15,1736.3,1.0573,0.5627
